gps_sec,odom_speed
332112.671003412,0
332112.737005949,0
332112.804004099,0
332112.871002524,0
332112.937004786,0
332113.00400321,0
332113.07100136,0
332113.137003897,0
332113.204002047,0
332113.271000197,0
332113.337002734,0
332113.404000884,0
332113.470999034,0
332113.537001571,0
332113.60399972,0
332113.670998145,0
332113.737000407,0
332113.803998832,0
332113.871007158,0
332113.936999519,0
332114.004007845,0
332114.071005995,0
332114.136998355,0
332114.204006681,0
332114.271004831,0
332114.337007368,0
332114.404005518,0
332114.471003668,0
332114.537006205,0
332114.604004355,0
332114.67100278,0
332114.737005041,0
332114.804003466,0
332114.871001616,0
332114.937004153,0
332115.004002303,0
332115.071000453,0
332115.13700299,0
332115.20400114,0
332115.270999564,0
332115.337001826,0
332115.404000251,0
332115.470998401,0
332115.537000938,0
332115.603999088,0
332115.671007414,0
332115.738005564,0
332115.803997924,0
332115.87100625,0
332115.9380044,0
332116.004006937,0
332116.071005087,0
332116.138003512,0
332116.204005774,0
332116.271004199,0
332116.338002348,0
332116.404004885,0
332116.471003035,0
332116.538001185,0
332116.604003722,0
332116.671001872,0
332116.738000022,0
332116.804002559,0
332116.871000708,0
332116.937999133,0
332117.004001395,0
332117.07099982,0
332117.13799797,0
332117.204000507,0
332117.270998657,0
332117.338006983,0
332117.403999344,0
332117.47100767,0
332117.538005819,0
332117.60399818,0
332117.671006506,0
332117.738004656,0
332117.804007193,0
332117.871005343,0
332117.938003768,0
332118.00400603,0
332118.071004454,0
332118.138002604,0
332118.204005141,0
332118.271003291,0
332118.338001441,0
332118.404003978,0
332118.471002128,0
332118.538000553,0
332118.604002814,0
332118.671001239,0
332118.737999389,0
332118.804001926,0
332118.871000076,0
332118.937998226,0
332119.004000763,0
332119.070998913,0
332119.138007239,0
332119.203999599,0
332119.271007925,0
332119.338006075,0
332119.403998436,0
332119.471006762,0
332119.538005187,0
332119.604007449,0
332119.671005874,0
332119.738004023,0
332119.80400656,0
332119.87100471,0
332119.93800286,0
332120.004005397,0
332120.071003547,0
332120.138001697,0
332120.204004234,0
332120.271002383,0
332120.338000808,0
332120.404998958,0
332120.471001495,0
332120.537999645,0
332120.604002182,0
332120.671000332,0
332120.737998481,0
332120.804001018,0
332120.870999168,0
332120.938007494,0
332121.003999855,0
332121.07099828,0
332121.205004756,0
332121.271007018,0
332121.338005443,0
332121.405003592,0
332121.471006129,0
332121.538004279,0
332121.604006816,0
332121.671004966,0
332121.738003116,0
332121.805001541,0
332121.871003803,0
332121.938002227,0
332122.005000377,0
332122.071002914,0
332122.138001064,0
332122.204999214,0
332122.271001751,0
332122.337999901,0
332122.40499805,0
332122.471000587,0
332122.537998737,0
332122.605007063,0
332122.670999424,0
332122.73800775,0
332122.805006175,0
332122.870998536,0
332122.938006862,0
332123.005005012,0
332123.071007548,0
332123.138005698,0
332123.205003848,0
332123.271006385,0
332123.338004535,0
332123.405002685,0
332123.471005222,0
332123.538003372,0
332123.605001796,0
332123.671004058,0
332123.738002483,0
332123.805000633,0
332123.87100317,0
332123.93800132,0
332124.00499947,0
332124.071002007,0
332124.138000156,0
332124.204998581,0
332124.271000843,0
332124.337999268,0
332124.405007319,0
332124.470999955,0
332124.537998105,0
332124.605006431,0
332124.670998791,0
332124.738007117,0
332124.805005267,0
332124.871007804,0
332124.938005954,0
332125.005004104,0
332125.071006641,0
332125.138004791,0
332125.205003216,0
332125.271005477,0
332125.338003902,0
332125.405002052,0
332125.471004589,0
332125.538002739,0
332125.605000889,0
332125.671003426,0
332125.738001576,0
332125.804999725,0
332125.871002262,0
332125.938000412,0
332126.004998837,0
332126.071001099,0
332126.137999524,0
332126.20500785,0
332126.271000211,0
332126.33799836,0
332126.405006686,0
332126.472004836,0
332126.538007373,0
332126.605005523,0
332126.672003673,0
332126.73800621,0
332126.80500436,0
332126.872002785,0
332126.938005046,0
332127.005003471,0
332127.072001621,0
332127.138004158,0
332127.205002308,0
332127.272000458,0
332127.338002995,0
332127.405001145,0
332127.471999569,0
332127.538001831,0
332127.605000256,0
332127.671998406,0
332127.738000943,0
332127.804999093,0
332127.872007419,0
332127.93799978,0
332128.004997929,0
332128.072006255,0
332128.137998616,0
332128.272005092,0
332128.338007629,0
332128.405005779,0
332128.472004204,0
332128.538006466,0
332128.60500489,0
332128.67200304,0
332128.738005577,0
332128.805003727,0
332128.872001877,0
